종목명,종목코드,시장,파일명,raw_url
동국홀딩스,001230,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
GS글로벌,001250,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
남광토건,001260,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
부국증권,001270,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
상상인증권,001290,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
PKC,001340,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
삼성제약,001360,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
SG글로벌,001380,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
KG케미칼,001390,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
태원물산,001420,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
세아베스틸지주,001430,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
대한전선,001440,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
현대해상,001450,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
BYC,001460,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
삼부토건,001470,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
현대차증권,001500,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
SK증권,001510,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
동양,001520,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
DI동일,001530,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
조비,001550,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
제일연마,001560,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
금양,001570,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
케이비아이동국실업,001620,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
종근당홀딩스,001630,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
대상,001680,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
신영증권,001720,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
SK네트웍스,001740,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
한양증권,001750,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
SHD,001770,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
알루코,001780,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
대한제당,001790,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
오리온홀딩스,001800,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
삼화콘덴서,001820,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
KISCO홀딩스,001940,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
코오롱,002020,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
아세아,002030,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
비비안,002070,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
경농,002100,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
고려산업,002140,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
도화엔지니어링,002150,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
SYTS,002170,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
한국수출포장,002200,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
동성제약,002210,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
한일철강,002220,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
고려제강,002240,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
아세아제지,002310,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
한진,002320,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
넥센타이어,002350,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
SH에너지화학,002360,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
KCC,002380,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
한독,002390,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
범양건영,002410,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
세기상사,002420,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
삼익악기,002450,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
HS화성,002460,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
조흥,002600,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
제일파마홀딩스,002620,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
오리엔트바이오,002630,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
동일제강,002690,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
신일전자,002700,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
TCC스틸,002710,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
국제약품,002720,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
보락,002760,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
진흥기업,002780,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
아모레퍼시픽홀딩스,002790,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
삼영무역,002810,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
SUN&L,002820,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
미원상사,002840,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
신풍,002870,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
디와이에이,002880,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
TYM,002900,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
유성기업,002920,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
한국쉘석유,002960,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
금호건설,002990,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
부광약품,003000,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
혜인,003010,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
세아제강지주,003030,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
에이프로젠바이오로직스,003060,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
코오롱글로벌,003070,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
SB성보,003080,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
대웅,003090,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
일성아이에스,003120,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
디아이,003160,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
일신방직,003200,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
대원제약,003220,KOSPI,KOSPI_101_150.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_101_150.csv
